"年","週","エボラ出血熱","クリミア・コンゴ出血熱","痘そう","南米出血熱","ペスト","マールブルグ病","ラッサ熱","急性灰白髄炎","結核","ジフテリア","重症急性呼吸器症候群","中東呼吸器症候群","鳥インフルエンザ（H5N1)","鳥インフルエンザ（H7N9)","コレラ","細菌性赤痢","腸管出血性大腸菌感染症","腸チフス","パラチフス","E型肝炎","ウエストナイル熱","A型肝炎","エキノコックス症","エムポックス","黄熱","オウム病","オムスク出血熱","回帰熱","キャサヌル森林病","Ｑ熱","狂犬病","コクシジオイデス症","ジカウイルス感染症","重症熱性血小板減少症候群","腎症候性出血熱","西部ウマ脳炎","ダニ媒介脳炎","炭疽","チクングニア熱","つつが虫病","デング熱","東部ウマ脳炎","鳥インフルエンザ（H5N1およびH7N9を除く）","ニパウイルス感染症","日本紅斑熱","日本脳炎","ハンタウイルス肺症候群","Ｂウイルス病","鼻疽","ブルセラ症","ベネズエラウマ脳炎","ヘンドラウイルス感染症","発しんチフス","ボツリヌス症","マラリア","野兎病","ライム病","リッサウイルス感染症","リフトバレー熱","類鼻疽","レジオネラ症","レプトスピラ症","ロッキー山紅斑熱","アメーバ赤痢","ウイルス性肝炎（Ｅ型肝炎及びＡ型肝炎を除く。）","カルバペネム耐性腸内細菌目細菌感染症","急性弛緩性麻痺（急性灰白髄炎を除く。）","急性脳炎","クリプトスポリジウム症","クロイツフェルト・ヤコブ病","劇症型溶血性レンサ球菌感染症","後天性免疫不全症候群","ジアルジア症","侵襲性インフルエンザ菌感染症","侵襲性髄膜炎菌感染症","侵襲性肺炎球菌感染症","水痘（入院例に限る）","先天性風しん症候群","梅毒","播種性クリプトコックス症","破傷風","バンコマイシン耐性黄色ブドウ球菌感染症","バンコマイシン耐性腸球菌感染症","百日咳","風しん","麻しん","薬剤耐性アシネトバクター感染症"
"2015","1","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","2","0","0","0","0","0","0","0","0","77","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","5","1","0","0","4","0","2","2","6","0","1","0","15","3","0","9","0","0","0","0","0","0","0","0"
"2015","3","0","0","0","0","0","0","0","0","53","0","0","0","0","0","0","1","2","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","1","0","0","1","10","0","2","2","14","0","0","11","1","0","0","0","0","0","1","0"
"2015","4","0","0","0","0","0","0","0","0","66","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","4","2","3","0","0","0","1","0","5","0","2","0","6","0","0","15","0","0","0","0","0","1","0","0"
"2015","5","0","0","0","0","0","0","0","0","69","0","0","0","0","0","0","2","1","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","1","0","4","1","0","4","4","0","0","0","4","0","0","10","0","0","0","0","0","0","0","0"
"2015","6","0","0","0","0","0","0","0","0","65","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","4","0","1","1","0","1","10","0","0","0","4","0","0","15","0","0","0","0","0","1","0","0"
"2015","7","0","0","0","0","0","0","0","0","54","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","1","4","0","2","0","0","2","6","0","0","0","4","2","0","12","0","0","0","0","0","1","0","0"
"2015","8","0","0","0","0","0","0","0","0","77","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","1","0","0","0","7","1","0","0","7","2","0","16","0","0","0","0","0","1","0","0"
"2015","9","0","0","0","0","0","0","0","0","67","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","3","0","1","0","1","3","8","0","0","0","7","1","0","15","0","0","0","0","0","2","0","0"
"2015","10","0","0","0","0","0","0","0","0","61","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","2","0","5","0","1","0","0","1","8","0","0","1","7","0","0","17","0","0","0","0","0","0","0","0"
"2015","11","0","0","0","0","0","0","0","0","73","0","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","4","0","0","0","1","1","10","0","0","0","6","0","0","10","1","0","0","0","0","1","0","0"
"2015","12","0","0","0","0","0","0","0","0","85","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","2","0","2","0","1","3","8","0","0","0","7","1","0","10","0","0","0","0","0","2","0","0"
"2015","13","0","0","0","0","0","0","0","0","67","0","0","0","0","0","0","3","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","5","0","1","0","1","0","0","3","9","1","1","0","7","0","0","21","0","1","0","0","0","1","0","0"
"2015","14","0","0","0","0","0","0","0","0","66","0","0","0","0","0","0","0","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","1","4","0","3","0","1","2","9","0","0","0","5","0","0","16","1","0","0","0","0","2","0","0"
"2015","15","0","0","0","0","0","0","0","0","84","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","2","0","0","0","0","3","9","0","0","1","9","0","0","34","0","0","0","0","0","0","2","0"
"2015","16","0","0","0","0","0","0","0","0","67","0","0","0","0","0","0","1","2","1","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","3","4","4","0","0","0","0","2","15","2","1","0","11","1","0","24","0","0","0","0","0","1","1","1"
"2015","17","0","0","0","0","0","0","0","0","80","0","0","0","0","0","0","3","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","3","2","6","0","0","0","1","0","10","1","2","0","4","2","0","21","0","0","0","0","0","1","1","0"
"2015","18","0","0","0","0","0","0","0","0","85","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","3","0","4","0","0","0","1","2","2","0","0","0","11","1","0","20","0","0","0","0","0","0","1","0"
"2015","19","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","0","0","0","0","0","7","0","1","0","8","0","0","17","0","0","0","0","0","0","0","0"
"2015","20","0","0","0","0","0","0","0","0","87","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","4","2","3","0","2","0","0","1","7","2","0","0","10","2","0","24","0","0","0","0","0","1","0","1"
"2015","21","0","0","0","0","0","0","0","0","83","0","0","0","0","0","0","0","5","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","2","1","6","0","1","0","0","1","11","0","1","1","12","2","0","25","0","0","0","0","0","0","0","1"
"2015","22","0","0","0","0","0","0","0","0","83","0","0","0","0","0","0","0","5","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","5","3","2","0","2","0","1","1","10","1","0","1","8","0","0","19","0","0","0","1","0","0","1","1"
"2015","23","0","0","0","0","0","0","0","0","103","0","0","0","0","0","0","4","5","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","6","3","2","0","0","0","0","0","10","0","1","0","6","3","0","20","1","0","0","0","0","0","1","0"
